name,code,min_lon,min_lat,max_lon,max_lat
능구리,NK52-10-07,127.5,40.833333333333336,127.75,41.0
함흥,NJ52-01-07,127.5,39.833333333333336,127.75,40.0
서창리,NK52-10-08,127.75,40.833333333333336,128.0,41.0
퇴조,NJ52-01-08,127.75,39.833333333333336,128.0,40.0
창평리,NK52-10-13,127.0,40.666666666666664,127.25,40.833333333333336
속사리,NK52-10-14,127.25,40.666666666666664,127.5,40.833333333333336
보라동,NK52-10-15,127.5,40.666666666666664,127.75,40.833333333333336
서리,NK52-10-16,127.75,40.666666666666664,128.0,40.833333333333336
갈전리,NK52-10-21,127.0,40.5,127.25,40.666666666666664
풍류리,NK52-10-22,127.25,40.5,127.5,40.666666666666664
광대리,NK52-10-23,127.5,40.5,127.75,40.666666666666664
평산리,NK52-10-24,127.75,40.5,128.0,40.666666666666664
장진,NK52-10-29,127.0,40.333333333333336,127.25,40.5
사수리,NK52-10-30,127.25,40.333333333333336,127.5,40.5
원풍리,NK52-10-31,127.5,40.333333333333336,127.75,40.5
흥경리,NK52-10-32,127.75,40.333333333333336,128.0,40.5
삼대평,NK52-10-37,127.0,40.166666666666664,127.25,40.333333333333336
고토리,NK52-10-38,127.25,40.166666666666664,127.5,40.333333333333336
신흥,NK52-10-39,127.5,40.166666666666664,127.75,40.333333333333336
신풍리,NK52-10-40,127.75,40.166666666666664,128.0,40.333333333333336
흑수리,NK52-10-45,127.0,40.0,127.25,40.166666666666664
