측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
포천,2023-05-25,11:04:00,11:29:00,3.0,-53.08475321872538,-1.3254875679883642,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2023-05-25,12:00:00,12:19:00,2.667,-43.88713036435365,-5.09539515420215,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2023-05-25,12:50:00,13:09:00,2.667,-29.31994708232378,-6.967302601899451,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2023-05-25,13:29:00,13:44:00,2.667,-18.036881953994452,-6.795554263872486,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2023-05-25,14:01:00,14:15:00,2.667,-8.52736123570503,-6.100651601771066,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2023-05-25,14:30:00,14:45:00,2.667,-4.3359097725042375,-5.584660415747383,정상,배포.포천.지자기야장.23.05.25.xlsx
포천,2025-05-27,11:16:00,11:31:00,2.0,-30.550593024105183,0.5549958166862888,정상,배포.지자기야장(25.05.27).포천점.xlsx
포천,2025-05-27,11:42:00,11:59:00,2.0,-32.84519675112824,-0.26828158859842277,정상,배포.지자기야장(25.05.27).포천점.xlsx
포천,2025-05-27,12:23:00,12:39:00,2.0,-33.69400192968169,-2.3148830149940673,정상,배포.지자기야장(25.05.27).포천점.xlsx
포천,2025-05-27,13:04:00,13:20:00,2.0,-26.768469844515494,-3.3160418775093414,정상,배포.지자기야장(25.05.27).포천점.xlsx
포천,2025-05-27,14:06:00,14:25:00,2.0,-21.42878529887821,-4.470794700000429,정상,배포.지자기야장(25.05.27).포천점.xlsx
포천,2025-05-27,14:47:00,15:02:00,2.0,-14.698629620019346,-3.8570448124468664,정상,배포.지자기야장(25.05.27).포천점.xlsx
함양,2020-11-16,15:08:00,15:27:00,0.0,-2.7227872620424023,-2.3694225253199814,정상,배포_지자기야장.20.11.16_함양.xlsx
함양,2020-11-16,15:50:00,16:10:00,0.0,2.0918092509236885,-1.3833271139846204,정상,배포_지자기야장.20.11.16_함양.xlsx
함양,2020-11-16,16:22:00,16:35:00,0.0,4.611995552942972,-0.6078560404567723,정상,배포_지자기야장.20.11.16_함양.xlsx
함양,2020-11-17,09:10:00,09:27:00,0.0,10.880757831124356,1.1577435295401843,정상,배포_지자기야장.20.11.16_함양.xlsx
